B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.04375,0.0673,0.0616,0.11065,0.1845,0.2025,0.2026,0.22125,0.1807,0.5336866,1,0.6252438603088795,-0.05713540307852858
0.0355,0.0563,0.0462,0.08445,0.18275,0.20355,0.2178,0.23225,0.152,0.65000004,1,0.6087177947854179,-0.177934018388318
0.0435,0.0589,0.0592,0.091,0.1746,0.1939,0.2072,0.2176,0.1817,0.5555556,1,0.5018663161345085,-0.06556955515556696
0.043,0.0678,0.0664,0.11,0.1951,0.2182,0.2282,0.2403,0.1759,0.5492193,1,0.4749889864109942,-0.12942341004701802
0.0483,0.0729,0.0758,0.11585,0.19745,0.21855,0.2308,0.23455,0.19025,0.50554466,1,0.4497673751280037,-0.09630685191782448
0.0438,0.0616,0.0624,0.094,0.1823,0.2071,0.211,0.2176,0.1906,0.543526,1,0.4480780960133803,-0.050796812749003994
0.0405,0.0619,0.0531,0.0892,0.18335,0.20505,0.2211,0.21985,0.1704,0.61269146,1,0.4276467265643291,-0.12950191570881225
0.0664,0.0875,0.1028,0.1267,0.1952,0.2154,0.2282,0.2281,0.2185,0.37885198,1,0.3821094375143358,-0.02171479740317884
0.0564,0.0783,0.0838,0.11105,0.19215,0.21595,0.2302,0.2345,0.1846,0.46624202,1,0.3122501446664131,-0.10993249758919964
0.049,0.0692,0.07575,0.1061,0.1703,0.1841,0.187,0.20025,0.2179,0.4234063,1,0.3110905760044508,0.07631513954062734
0.0546,0.0756,0.0762,0.1111,0.1779,0.1981,0.2036,0.2177,0.2042,0.45532525,1,0.276293618462311,0.0014713094654242016
0.0373,0.059,0.0557,0.0901,0.194,0.2152,0.2348,0.2595,0.1805,0.6165232,1,0.2762055590913924,-0.1307488562484951
0.0335,0.0485,0.04525,0.07755,0.1523,0.1676,0.1627,0.2392,0.14115,0.56479925,1,0.2760654993446468,-0.07092315287148268
0.0408,0.0624,0.0575,0.0885,0.1893,0.2092,0.2188,0.2315,0.1643,0.5837857,1,0.2728393378905234,-0.14226050639519705
0.03465,0.05625,0.0499,0.08355,0.1755,0.19615,0.2203,0.256,0.1614,0.63064396,1,0.0874817831532658,-0.15430966727796702
0.0527,0.0718,0.0782,0.0874,0.1297,0.143,0.1666,0.1722,0.2042,0.36111113,1,0.0865035940288675,0.10140237324703343
0.0448,0.0593,0.0612,0.0948,0.168,0.1882,0.2004,0.2239,0.2067,0.5321101,1,0.0030261341453525,0.015475313190862195
0.0904,0.1164,0.1278,0.1729,0.2356,0.2529,0.259,0.2859,0.2535,0.33919337,1,0.7744035072971711,-0.010731707317073182
0.0384,0.05,0.053,0.0801,0.1297,0.145,0.1594,0.1647,0.1955,0.50094163,1,0.7620920724366268,0.1017187940264864
