B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split
0.026122222,0.044333335,0.0715,0.0615,0.105,0.23456667,0.27713335,0.30605,0.30355,0.29578334,0.1593,0.09138,0.6653516,-0.31165606,-0.38041592,-0.2268682,3.4646712616158406,0,0.9877851753018316
0.0373,0.03155,0.05195,0.0479,0.09725,0.21075,0.2422,0.2442,0.2669,0.24545,0.17185,0.1043,0.67203015,-0.21663819,-0.5357462,-0.11301718,3.5686433386998333,0,0.987765359213809
0.06405,0.07035,0.10155,0.10915,0.1254,0.21295,0.24255,0.2841,0.259,0.24335,0.1896,0.14045,0.4448824,-0.15470351,-0.30242145,-0.08527249,3.46467126161584,0,0.9873457119527558
0.1031,0.0922,0.1192,0.1426,0.1651,0.1866,0.1912,0.1824,0.1986,0.2273,0.2633,0.2097,0.12246155,0.14007363,-0.37673202,0.19294636,3.4473425821018417,0,0.9871512913089902
0.119171426,0.13882858,0.1580375,0.166625,0.19341667,0.239875,0.26005882,0.24155,0.271075,0.3088,0.2176,0.17455,0.18356098,-0.10942857,-0.1585638,0.005030609,3.464671261615841,0,0.987147963165018
0.0901,0.0921,0.1314,0.1362,0.1843,0.25,0.2867,0.3224,0.2856,0.2815,0.2394,0.2009,0.40601835,-0.088000014,-0.29126212,-0.049234286,3.4646712616158406,0,0.987107181127736
0.0333625,0.04445,0.06555,0.08043333,0.12743333,0.212675,0.24165,0.2684,0.2675,0.22853333,0.2127,0.13225,0.5388438,-0.11411916,-0.52884096,-0.03253668,3.4646712616158406,0,0.9870365673691646
0.040933333,0.052645456,0.07249231,0.08383334,0.1223,0.19655,0.226295,0.24755,0.2444625,0.2383,0.16928571,0.125275,0.4940401,-0.18169695,-0.40033996,-0.08508073,3.4646712616158406,0,0.98659686960941
0.06056,0.0524,0.078075,0.07191111,0.13536666,0.25700834,0.29483333,0.3169875,0.31616667,0.289575,0.19243333,0.13125,0.63018066,-0.24328223,-0.42275345,-0.16575316,3.4646712616158406,0,0.9863910835225254
0.0522,0.060766667,0.08335,0.0843,0.1247,0.17765,0.202,0.2066,0.2183,0.2553,0.1217,0.093,0.4204194,-0.28411767,-0.18702753,-0.12963876,3.5773076784568323,0,0.986383096930581
0.020366667,0.02226875,0.042085715,0.03233,0.08068,0.212125,0.25625,0.2649,0.2739,0.25346667,0.14635625,0.07726666,0.782458,-0.30349043,-0.5533297,-0.23286751,3.447342582101842,0,0.9863659967668068
0.0157,0.0189,0.0346,0.032,0.0696,0.1487,0.1791,0.1902,0.1936,0.2076,0.1386,0.0868,0.71197116,-0.16556288,-0.6004619,-0.101395816,3.4538408369195914,0,0.9863203830779947
0.07325,0.0464,0.0673,0.0843,0.13125,0.1969,0.21825,0.2606,0.2452,0.2455,0.2296,0.1763,0.5111627,-0.03285593,-0.5466487,0.011112891,3.464671261615841,0,0.9862555412803086
0.054075,0.069825,0.0944,0.1116,0.144225,0.2088,0.2372,0.26665,0.26375,0.2579875,0.2329,0.17523,0.40991408,-0.06211617,-0.42315915,0.011784571,3.5773076784568323,0,0.9861293570201456
0.025842857,0.032914285,0.0517,0.0478,0.084525,0.1655,0.19028,0.2106,0.205875,0.2021,0.148,0.09635,0.630031,-0.16354643,-0.48222333,-0.108610824,3.4538408369195914,0,0.9859877247367992
0.060575,0.06831818,0.095584616,0.099583335,0.16639091,0.2598909,0.29824,0.3381154,0.31895,0.31108,0.21765,0.1614625,0.5449686,-0.18878122,-0.38969314,-0.12326147,3.5773076784568323,0,0.9859673779712054
0.06823,0.06426667,0.09166667,0.1069,0.15066,0.1972,0.21641,0.2168,0.23343334,0.23186667,0.25234544,0.208,0.3395119,0.038931523,-0.46707302,0.12209479,3.4538408369195914,0,0.985893859304434
0.046225,0.049833335,0.07523333,0.075925,0.1385375,0.232975,0.26505834,0.3017125,0.29681608,0.28295,0.18,0.1222,0.59789485,-0.24499188,-0.4104741,-0.15740812,3.4646712616158406,0,0.9857969721766772
0.02545,0.03325,0.04935,0.0516,0.10025,0.2132,0.24145,0.24835,0.264,0.2787,0.1351,0.08215,0.6559426,-0.32297668,-0.46489564,-0.20264785,3.5773076784568323,0,0.9855292114791016
0.029,0.0232,0.04555,0.0338,0.07715,0.19455,0.2348,0.25885,0.26525,0.28425,0.11465,0.0629,0.7690074,-0.3964201,-0.43133584,-0.31033683,3.4646712616158406,0,0.9855245828112956
0.0103,0.0185,0.0358,0.0242,0.0625,0.2135,0.2709,0.314,0.2975,0.2867,0.1359,0.0582,0.8568894,-0.3728657,-0.5829936,-0.3499797,3.456006921858841,0,0.9854482969052304
0.052845832,0.041375,0.058446154,0.066045456,0.11245,0.17523333,0.20015,0.20555,0.22375,0.22296667,0.17806667,0.1336875,0.5136483,-0.11369196,-0.5057676,-0.0057284334,3.4646712616158406,0,0.9853745563716532
0.02905,0.0544,0.07796667,0.0881,0.1409,0.2065,0.23176,0.2315,0.2516,0.178325,0.1918,0.1321,0.44868585,-0.13486694,-0.4219696,-0.010604456,3.5166573001578367,0,0.9853473715451811
0.082625,0.103,0.1428,0.17975,0.1918,0.240475,0.2653,0.2846,0.2755,0.243,0.282,0.231525,0.2257995,0.011659203,-0.32768363,0.08730207,3.5773076784568323,0,0.98516932870729
