B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.0526,0.0373,0.059,0.0557,0.0901,0.194,0.2152,0.2348,0.2297,0.2595,0.1805,0.1271,0.6165232,3.425681732709344,1,0.2762055590913924
0.0384,0.0335,0.0485,0.04525,0.07755,0.1523,0.1676,0.1627,0.179,0.2392,0.14115,0.0957,0.56479925,3.456006921858841,1,0.2760654993446468
0.0412,0.0408,0.0624,0.0575,0.0885,0.1893,0.2092,0.2188,0.2282,0.2315,0.1643,0.1129,0.5837857,3.451674751980342,1,0.2728393378905234
0.0372,0.03465,0.05625,0.0499,0.08355,0.1755,0.19615,0.2203,0.20715,0.256,0.1614,0.11305,0.63064396,3.466837346555091,1,0.0874817831532658
0.0431,0.0527,0.0718,0.0782,0.0874,0.1297,0.143,0.1666,0.1602,0.1722,0.2042,0.1494,0.36111113,3.5686433386998333,1,0.0865035940288675
0.0441,0.0448,0.0593,0.0612,0.0948,0.168,0.1882,0.2004,0.2171,0.2239,0.2067,0.1451,0.5321101,3.5773076784568323,1,0.0030261341453525
0.0688,0.0904,0.1164,0.1278,0.1729,0.2356,0.2529,0.259,0.2705,0.2859,0.2535,0.205,0.33919337,3.5773076784568323,1,0.7744035072971711
0.0354,0.0384,0.05,0.053,0.0801,0.1297,0.145,0.1594,0.1626,0.1647,0.1955,0.1334,0.50094163,3.5773076784568323,1,0.7620920724366268
0.0352,0.0394,0.0574,0.0542,0.0862,0.1584,0.1755,0.187,0.1965,0.1973,0.1739,0.1265,0.55058044,3.4408443272840925,1,0.7510228577184557
0.0325,0.03635,0.0608,0.0545,0.103,0.19405,0.2197,0.2395,0.24465,0.25965,0.1976,0.1298,0.6292517,3.4538408369195914,1,0.7372097431717554
0.0366,0.05325,0.0724,0.0795,0.10455,0.16015,0.18055,0.1897,0.19225,0.21435,0.2113,0.15395,0.4093611,3.5513146591858344,1,0.7179390311602096
0.042,0.0399,0.05695,0.0547,0.0914,0.16815,0.18995,0.1973,0.20495,0.1917,0.18255,0.1267,0.565873,3.460339091737341,1,0.6849541443816235
0.0385,0.041,0.0604,0.0604,0.1125,0.2046,0.2214,0.199,0.2465,0.2375,0.1746,0.1288,0.5343099,3.5773076784568323,1,0.5323114440977573
0.0403,0.0541,0.0772,0.0808,0.1126,0.1887,0.2047,0.216,0.2287,0.2194,0.2086,0.1624,0.45552564,3.559978998942834,1,0.5106363497564734
0.047,0.0462,0.0636,0.0626,0.1087,0.174,0.1933,0.1964,0.2096,0.1917,0.2026,0.1498,0.51660234,3.4646712616158406,1,0.4895722998967835
0.042,0.0492,0.0726,0.0796,0.1103,0.1772,0.1892,0.2012,0.2081,0.214,0.2175,0.174,0.43304843,3.4646712616158406,1,0.4679551159864887
0.0314,0.0389,0.0554,0.0524,0.0879,0.1861,0.20705,0.2147,0.22225,0.2303,0.17455,0.11085,0.6076376,3.4646712616158406,1,0.4488930978386344
0.04935,0.0706,0.0975,0.1084,0.1193,0.2041,0.2295,0.2466,0.24225,0.23905,0.21695,0.16175,0.38929576,3.460339091737341,1,0.2397480987033885
0.0395,0.0487,0.0647,0.0677,0.0983,0.1762,0.1939,0.1926,0.2095,0.2256,0.1946,0.1418,0.47983098,3.445176497162592,1,0.2148914443278963
0.0484,0.0496,0.0684,0.0688,0.0979,0.1745,0.1934,0.2056,0.2142,0.2291,0.196,0.1471,0.49854225,3.5491485742465843,1,0.1321952542928854
0.0373,0.0537,0.0759,0.0734,0.1154,0.18865,0.2048,0.2308,0.22985,0.2306,0.19805,0.135,0.51742274,3.460339091737341,1,0.1198048973020643
0.0331,0.045,0.06885,0.06555,0.11085,0.1901,0.212,0.2339,0.23125,0.21695,0.19075,0.1326,0.5621974,3.533985979671836,1,0.0232776856528
0.0616,0.0582,0.0832,0.0888,0.1194,0.1859,0.2112,0.2062,0.2292,0.2333,0.2128,0.1663,0.39796612,3.4971201887252814,1,0.7847924783025115
